퀘스트 ,Line,selectLine,캐릭터 이름 ,대사 ,팝업이벤트 ,스킵라인 ,퀘스트 상태,비고 ,,,,
소득의 주 수입원은 노동,13,0,안내원 ,메타 마을에서 돈을 벌려면 퀴즈를 풀어야 해! 퀴즈를 풀어보며 금융 지식을 쌓아보자. 준비됐지?,0,10000,0,"끊, 소득의 주 수입원은 노동",,4,,
소득의 주 수입원은 노동,14,0,안내원 ,뉴스에서 배운 내용 유익했지? 이제 금융 지식이 한층 더 늘었을 거야.,0,0,1,,,,,
소득의 주 수입원은 노동,15,0,안내원 ,방금 퀴즈를 풀고 금융 지식을 쌓았으니 '금융 에너지'가 채워졌겠네! 마을 발전에 큰 도움이 될 거야!,0,0,1,,,,,
소득의 주 수입원은 노동,16,0,안내원 ,돈을 벌었으니 이제 소득을 잘 관리하는 게 정말 중요해! 자산 관리는 너의 미래를 위해 꼭 필요한 부분이야. ,0,0,1,"안 끈, 퀘스트 완",,5,,
예산 관리의 시작,17,0,안내원 ,소득을 관리하는 방법에는 저축과 투자가 있어. 저축은 나중에 필요한 돈을 준비할 때 좋고 투자는 자산을 불려나갈 때 필요한 방법이야.,0,0,0,,,,,
예산 관리의 시작,18,0,안내원 ,여기 메타 마을에서는 은행에서 저축과 투자 모두 할 수 있어. 그럼 은행에 가서 네 계좌를 개설해볼까?,0,0,0,"끊, 예산 관리의 시작 ",,6,,
예산 관리의 시작,19,0,은행원,안녕하세요 메타뱅크입니다. 저희 은행에 처음 오셨나요?,0,0,1,,,,,
예산 관리의 시작,20,1,플레이어,네 처음 왔어요!,0,21,1,,,,,
예산 관리의 시작,21,0,은행원,처음 오셨다면 계좌 개설을 도와드릴게요! 계좌를 개설하려면 먼저 약관에 동의하셔야 해요.,0,0,1,,,,,
예산 관리의 시작,22,0,은행원,약관내용을 꼼꼼하게 읽어보시고 동의해 주세요!,1,0,1,게좌 개설 이벤트,,계좌 개설 이벤트 ,,
예산 관리의 시작,23,0,은행원,계좌가 개설되었습니다! 이제 이곳에서 소득을 저축하고 투자할 수 있습니다.,0,0,1,"안 끊, 퀘스트 완",,7,,
저축과 투자,24,0,은행원,이렇게 모은 돈이 차곡차곡 쌓이면 더 큰 목표도 이룰 수 있어요. 은행은 자산을 안전하게 관리하고 불려가는 데 꼭 필요한 곳이에요!,0,0,0,"안 끈, 퀘스트 발생",은행원이 말하고 있을 때는 끊지 않는다.,,,
저축과 투자,25,0,은행원,이제 저축 상품과 투자 상품에 대해 설명드릴게요. ,0,0,1,,,8,,
저축과 투자,26,2,플레이어,예,0,29,1,,,,,
저축과 투자,27,2,플레이어,아니오,0,28,1,,,,,
저축과 투자,28,0,은행원,감사합니다. 또 방문해 주세요!,0,10000,1,,,,,
저축과 투자,29,0,은행원,어떤 상품을 먼저 알아보시겠어요?,0,0,1,,,,,
저축과 투자,30,3,플레이어,저축 상품이 궁금해요!,0,32,1,,,,,
저축과 투자,31,3,플레이어,주식 상품이 궁금해요!,0,37,1,,,,,
저축과 투자,32,0,은행원,저희 메타뱅크는 자유 저축 예적금과 정기 예금과 정기 적금 3가지의 상품을 제공하고 있어요.,0,0,1,,,,,
저축과 투자,33,0,은행원,자유 예적금 상품은 금리가 낮긴 하지만 자유롭게 돈을 넣고 뺄 수 있어요.,0,0,1,,,,,
저축과 투자,34,0,은행원,정기 예금은 한 번에 큰 돈을 넣고 이자를 받기 좋아요. 목돈을 불려나가는 데 딱이랍니다!,0,0,1,,,,,
저축과 투자,35,0,은행원,정기 적금은 매달 조금씩 돈을 넣어가며 나중에 큰 목돈을 만드는 데 도움이 돼요! 꾸준히 모아가며 큰 목표를 이룰 수 있답니다!,0,0,1,,,,,
저축과 투자,36,4,플레이어,이해했어요.,0,28,1,,,,,
저축과 투자,37,0,은행원,주식은 말 그대로 회사의 일부를 거래하는 거예요. 주식을 사면 그 회사의 주주가 되는 거죠.,0,0,1,주식은 회사 소유권의 일부를 거래하는 것이에요.,,,,
저축과 투자,38,0,은행원,투자는 시장 변동성 경제적 불확실성 정치적·규제 리스크 등 여러 요인이 복합적으로 작용해요.,0,0,1,주식을 사는 것은 그 회사의 일부분을 소유하게 되는 것이고 이는 주주가 되는 것을 의미합니다.,,,,
저축과 투자,39,0,은행원,이로 인해 불확실성이 커지며 따라서 위험을 동반합니다.,0,0,1,주식 가격은 다양한 요인에 의해 변동이 크기 때문에 가격이 오를 수도 있고 반대로 하락할 수도 있어요.,,,,
저축과 투자,40,0,은행원,그래서 신중하게 접근해야 하죠.,0,0,1,따라서 주식 상품에 투자하는 것은 큰 위험성을 동반해요.,,,,
저축과 투자,41,0,은행원,그래도 주식에 투자해 보고 싶으신가요?,0,0,1,그래도 주식 상품에 투자해 보시겠어요?,,,,
저축과 투자,42,5,플레이어,예,0,44,1,,,,,
저축과 투자,43,5,플레이어,아니오,0,28,1,,,,,
저축과 투자,44,0,은행원,주식에 투자할 때는 회사의 상황과 시장 흐름을 잘 분석하고 정보를 바탕으로 신중히 투자하는 게 중요해요! 메타 마을의 기업에 대한 정보는 오늘 아침 신문에서 보셨죠?,0,0,1,[주식에 투자할 때는 회사의 상황과 시장 흐름을 잘 분석하고 정보를 바탕으로 신중히 투자하는 게 중요해요! 매일 아침 제공되는 뉴스에서 확인할 수 있어요.],,,,
저축과 투자,45,0,은행원,뉴스에서 확인할 수 있는 정보들이 정말 유용하답니다! 그럼 투자하고 싶은 회사를 선택해보세요!,2,0,1,매수 창 뜨기,,,,
저축과 투자,46,0,은행원,확인했습니다. ,0,28,1,"끊, 퀘스트 완", 말하는 주체가 바뀌면 무조건 끊는다.,9,,
개인 지출관리,47,0,안내원,이제 은행에서 자산을 잘 관리하게 되었으니 마을의 경제 활동에 참여할 차례야. 이제 상점으로 이동해볼까?,0,0,0,,,,,
개인 지출관리,48,0,안내원,상점에서는 네가 만든 상품을 판매하거나 다른 사람들이 만든 상품을 구매할 수 있어!,0,0,0,,,,,
개인 지출관리,49,0,안내원,거래는 단순히 물건을 사고 파는 것만이 아니야. 상점에서 물건을 사고 팔면 그 돈이 다시 마을로 돌아와 경제가 활성화되고 더 활기차지게 돼.,0,0,0,"끊, 개인 지출관리 퀘스트 발생 ",,10,,
개인 지출관리,50,0,안내원,돈이 순환되면서 마을도 함께 성장하는 거지! 그러니까 상점에서 다양한 상품들을 둘러보고 경제 활동에 참여해 보자!,0,0,1,,,,,
개인 지출관리,51,0,안내원,너의 다양한 금융 활동으로 메타 마을의 '금융 에너지'가 가득 찼어!,0,0,1,,,,,
개인 지출관리,52,0,안내원,이제 이 에너지는 마을을 더욱 발전시키는 데 사용할 수 있을 거야! 정말 고마워.,0,0,1,"안 끊, 퀘스트 완",,11,,
개인 재무관리,53,0,안내원,이건 너의 금융 활동을 분석한 레포트야! 소비와 저축 그리고 투자와 학습까지 네가 해본 다양한 활동에 대한 피드백이 담겨 있지.,0,0,0,,,,,
개인 재무관리,54,0,안내원,어떤 점이 좋았고 또 어디에서 더 개선할 수 있을지 생각해본다면 앞으로 더 나은 금융 의사결정을 내릴 수 있을 거야!,0,0,0,"끊, 개인 재무관리 퀘스트 발생",,12,,
개인 재무관리,55,0,안내원,오늘 배운 금융 활동을 통해 네가 메타 마을 발전에 큰 기여를 했다는 걸 기억해!,0,0,1,,,,,
개인 재무관리,56,0,안내원,이 지식은 앞으로도 계속 쌓이고  점점 더 큰 변화를 일으킬 수 있을 거야.,0,0,1,,,,,
개인 재무관리,57,0,안내원,궁금한 점이 생기면 언제든지 찾아와. 내가 도와줄게!,0,0,1,,,,,
개인 재무관리,58,0,안내원,같이 힘을 모아 더 멋진 마을을 만들어 보자!,0,0,1,,,13,,
주식확인,59,0,은행원,안녕하세요! 오늘 또 오셨네요? 혹시… 어제 주식 투자한 거 확인하러 오셨나요?,0,0,0,,,,,
주식확인,60,6,플레이어,예,0,0,0,,,,,
주식확인,61,6,플레이어,아니오,0,0,0,,,,,
주식확인,62,0,은행원,오늘의 주식 정보가 도착했어요! 확인해보세요.,0,0,0,,,,,
